Player,Pos,Age,Tm,All Star,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Giannis Antetokounmpo,PF,26,MIL,1,27,27,906,11.1,19.7,0.563,1.2,4.3,0.29,9.9,15.5,0.638,6.8,10.6,0.642,1.9,10.4,12.2,6.2,1.4,1.4,3.9,3.3,30.2
Kostas Antetokounmpo,PF,23,LAL,0,1,0,8,0,9,0,0,0,0,0,9,0,0,0,0,0,18,18,0,0,9,9,4.5,0
Thanasis Antetokounmpo,SF,28,MIL,0,18,0,149,4.1,6.3,0.654,0.5,1.7,0.286,3.6,4.6,0.789,1,1.7,0.571,3.1,4.3,7.5,3.6,1.2,0.7,3.6,6,9.7
Carmelo Anthony,PF,36,POR,0,27,3,683,6.6,16.7,0.396,2.4,6.4,0.377,4.2,10.2,0.407,3.4,4,0.842,0.8,4.2,5,1.8,1.1,1.1,1.3,3,19
Cole Anthony,PG,20,ORL,0,25,17,667,5.5,14.5,0.375,1.5,4.5,0.325,4,10,0.398,2.5,3,0.836,1.1,4.9,6,5.1,0.9,0.6,2.8,2.8,14.8
OG Anunoby,SF,23,TOR,0,18,18,619,5.3,10.8,0.489,2.6,5.9,0.431,2.7,4.9,0.56,2.1,2.8,0.75,1.7,4.5,6.2,1.6,2.1,0.6,1.8,3.1,15.2
Ryan Arcidiacono,PG,26,CHI,0,11,0,107,3,8.1,0.375,2,5.4,0.375,1,2.7,0.375,1.3,1.7,0.8,0.3,7.1,7.4,5.7,1,0,0.7,3.4,9.4
D.J. Augustin,PG,33,MIL,0,27,0,480,3.4,10.3,0.336,2.4,6.6,0.364,1,3.7,0.286,2.5,2.8,0.895,0.8,1.6,2.5,6.1,1,0.1,1.6,1.4,11.8
Deni Avdija,SF,20,WAS,0,22,16,503,4,9.4,0.424,1.9,5.4,0.355,2.1,4,0.518,0.8,1.4,0.579,0.9,6.9,7.7,2.5,1.2,0.3,1.3,4.4,10.7
Deandre Ayton,C,22,PHO,0,27,27,866,6.8,11.6,0.59,0.2,0.7,0.25,6.7,10.9,0.611,1.8,2.5,0.721,4.1,9.6,13.7,2,0.3,1.1,2.4,3.8,15.6
Udoka Azubuike,C,21,UTA,0,12,0,49,2.9,5.1,0.571,0,0,0,2.9,5.1,0.571,2.9,4.4,0.667,2.9,6.6,9.6,0,0.7,2.9,2.2,5.9,8.8
